Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 4 (potem 5 i 6),a96a07b5-9e6a-4c29-b816-97d127ecf811,FINISHED,65a143f5-e192-4859-b6d4-4c7b08f51ab1,0,2026-08-22T12:31:28.711Z,3cfe3be9-8d6f-41c7-b81c-dedc1322dc01,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,614,6,14,,79789e68-ab81-4120-b6ba-47a1697c7d44,e193927e-381f-4695-ac85-685e297bb182,-14,0,3,,True,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 4 (potem 5 i 6),a96a07b5-9e6a-4c29-b816-97d127ecf811,FINISHED,51adaec9-c6b2-4211-ba0c-d8ccd69add63,1,2026-08-22T12:31:28.711Z,323450c8-8b29-477a-aaf2-6d6f3fc09c5a,cbfbcd40-cbf7-4546-885f-4d061496fe8c,96,1,0,False,56a22b26-febc-454c-9df6-c3c6389df087,ea7e3e0d-3a78-4a90-8ca4-a55e6505cf5a,504,5,4,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 4 (potem 5 i 6),a96a07b5-9e6a-4c29-b816-97d127ecf811,FINISHED,27f4f62b-8204-444d-9168-a40e40c2b5a5,2,2026-08-22T12:31:28.711Z,efd4474b-a859-486b-88ae-80a257ae16b5,b6def41a-138b-47e9-895a-072abb419580,-6,0,4,,75c7a422-b324-4ac2-b7f1-3b8acb959dd3,cd36b01c-87a1-47c9-b877-a65940b24b12,606,6,12,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 4 (potem 5 i 6),a96a07b5-9e6a-4c29-b816-97d127ecf811,FINISHED,e11e58ef-ef5d-41c2-9b2a-88f0e445bfc8,3,2026-08-22T12:31:28.711Z,c8eef2b9-c85c-4a0d-8867-b74070c4c481,b9991a3f-21db-4617-833e-e0341de18725,-10,0,0,,9aacbd26-8402-4b91-b19c-4ce07a35cb6e,4190b8db-c681-4013-8495-4b3853c39ccc,610,6,10,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 5,ed135d9f-005a-44f0-bd38-de1d80850fa2,FINISHED,d4ac0074-c329-426a-9495-80a410d5ec2b,0,2026-08-23T10:32:30.537Z,14afacf7-5ef1-4ec6-b73e-9bd6aca3675b,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,613,6,16,,8212c778-a395-45b5-a8cc-cf8a542a3f7a,4190b8db-c681-4013-8495-4b3853c39ccc,-13,0,3,,True,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 5,ed135d9f-005a-44f0-bd38-de1d80850fa2,FINISHED,70e363ee-710e-465f-8c23-ccdfb52340b9,1,2026-08-23T10:32:30.537Z,3403fca1-8152-41a1-a005-eb994da3478a,cd36b01c-87a1-47c9-b877-a65940b24b12,-10,0,1,,32d204f4-db52-47a4-a9e0-c471af56d67c,ea7e3e0d-3a78-4a90-8ca4-a55e6505cf5a,610,6,11,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 5,ed135d9f-005a-44f0-bd38-de1d80850fa2,FINISHED,925eec62-48ac-4dba-8c74-6d28fe0bfe55,2,2026-08-23T10:32:30.537Z,1c85a758-e186-4ad5-96ec-ebd5c99b6237,cbfbcd40-cbf7-4546-885f-4d061496fe8c,606,6,9,False,be3566d6-e0dc-4b4f-ad2d-73a501d484c0,b6def41a-138b-47e9-895a-072abb419580,-6,0,3,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 5,ed135d9f-005a-44f0-bd38-de1d80850fa2,FINISHED,5f587299-8c50-4aa2-b05b-7f84a8c9d904,3,2026-08-23T10:32:30.537Z,9c8f4a38-6046-4f0a-8326-189af293dfe6,b9991a3f-21db-4617-833e-e0341de18725,-10,0,0,,55098749-6a50-41b1-bb9c-06d359c322e4,e193927e-381f-4695-ac85-685e297bb182,610,6,10,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 6,b9034929-813b-42a2-9cb5-337849f6ecca,FINISHED,28e94316-50af-47a7-989f-156518dc719f,0,2026-08-23T13:03:00.272Z,ee834f7d-8d94-437e-acaf-a1f3e853b08a,ea7e3e0d-3a78-4a90-8ca4-a55e6505cf5a,0,0,0,,53fa261d-a6f2-46fd-bfbe-338746fc3253,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,600,6,6,,False,True,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
Turniej Middle Earth SBG Kielce - sierpień 2026 ,f6d275b5-7a39-4a05-ac5d-9e8821076a68,Koszyk 6,b9034929-813b-42a2-9cb5-337849f6ecca,FINISHED,37f82309-30a5-4f7e-b832-928f055e5810,1,2026-08-23T13:03:00.272Z,f402c63a-effa-4a66-ac71-8c4d0afbe0c1,cbfbcd40-cbf7-4546-885f-4d061496fe8c,612,6,12,True,05cea319-8974-433e-8dd1-6c7a56381a0b,4190b8db-c681-4013-8495-4b3853c39ccc,-12,0,0,,False,False,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5
