Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 3 - Escort the Wounded ,5014145f-0347-436a-9c78-0983d8f96135,FINISHED,625309b1-a364-4851-b307-55865a096607,0,2025-12-14T13:19:54.006Z,7f9b1e6c-34d7-4722-bafb-bfa21c23e5f3,b6f0e023-257d-472b-af43-78e56d559cae,-9,-9,1,True,a08970b8-7a6d-4646-8dd3-ed65312e968f,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,609,9,10,True,False,True,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 3 - Escort the Wounded ,5014145f-0347-436a-9c78-0983d8f96135,FINISHED,469dd2f8-f504-4fe4-aba8-b3046c832753,1,2025-12-14T13:19:54.006Z,4b4af327-28cc-4d7b-a795-64eb2382e7a8,b1bfbaa2-786c-45b9-ae49-2d3958b91304,502,2,14,False,dfea3437-40b0-4a06-a191-a8a8d1f3f0f4,0117f017-2d2b-4322-910f-c7c1b3aae435,98,-2,12,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 3 - Escort the Wounded ,5014145f-0347-436a-9c78-0983d8f96135,FINISHED,f7064c3d-d59f-4f68-b388-fb78321be7ad,2,2025-12-14T13:19:54.006Z,124019e1-cf91-48f3-a50d-f8403c69b087,a01d0940-38c6-42d0-a49d-e26ddfc4a4a3,606,6,8,,27a3ff21-29d3-422a-8df0-7145471eba37,c835422a-30a3-4c32-b3c7-e4adf534f128,-6,-6,2,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 3 - Escort the Wounded ,5014145f-0347-436a-9c78-0983d8f96135,FINISHED,f7ce9d2b-b355-4fa8-9066-fc6b1f859c2f,3,2025-12-14T13:19:54.006Z,ee04f77b-7765-4e4e-90ca-89f11556435c,02e912fd-a2c2-4725-a3a6-e9d4fea52a31,95,-5,7,,f31ca9f8-4f40-41fe-9e85-165ecefe373d,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,505,5,12,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 3 - Escort the Wounded ,5014145f-0347-436a-9c78-0983d8f96135,FINISHED,c1872674-a763-47c0-9cc9-a54adbc9a8f0,4,2025-12-14T13:19:54.006Z,a1b9b645-6186-4e6e-bcd5-cc160261e09e,e98a4dbf-6472-4198-b6b7-1b672e759927,-10,-10,3,,0f32610d-47a5-49a6-a944-8af094ac423e,1e4b9bdf-6062-4736-aef3-52bc568f8803,610,10,13,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 3 - Escort the Wounded ,5014145f-0347-436a-9c78-0983d8f96135,FINISHED,bb5e0956-7018-40e2-a95a-6bc153f5ddf9,5,2025-12-14T13:19:54.006Z,f1cbfa1a-83f1-4cc2-aaf7-521bad162929,31cfee36-6d3e-48c8-939f-ec6939d9bd06,98,-2,6,,c3b3bbb0-8660-4556-bf52-f91c40a80713,b746219c-415e-46e0-8143-e8cbc9ae71d0,502,2,8,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 3 - Escort the Wounded ,5014145f-0347-436a-9c78-0983d8f96135,FINISHED,0d56ac65-74e9-4785-9929-7c732353e20f,6,2025-12-14T13:19:54.006Z,b6751d7e-9d2a-4c60-a3a2-578d69544702,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,609,9,11,True,85ca4b56-ac26-4ac7-8c71-205783c08075,987fa345-8622-4702-a59f-71f0c10c6e0a,-9,-9,2,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 2 - Hołd Ground,99ff7f9b-4333-4908-8338-9894f8561618,FINISHED,f5793f57-b4fe-44a1-a873-5c1c7efc75a1,0,2025-12-14T11:06:02.757Z,9dfbf626-0786-440d-8dfb-5cffa5baa2b6,a01d0940-38c6-42d0-a49d-e26ddfc4a4a3,98,-2,2,,2661fc7d-2470-48a4-8597-caa9b81a67da,1857125d-c4f2-4a84-a26c-18ff4acbbcaf,502,2,4,False,False,True,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 2 - Hołd Ground,99ff7f9b-4333-4908-8338-9894f8561618,FINISHED,26f9a18a-ca8a-4482-832d-8ce2a42a76d2,1,2025-12-14T11:06:02.757Z,195953d8-0341-4c63-a560-cb497345718b,b6f0e023-257d-472b-af43-78e56d559cae,613,13,15,True,766cab62-2d93-498a-9a32-0a41c6251b30,1e4b9bdf-6062-4736-aef3-52bc568f8803,-13,-13,2,,False,False,1857125d-c4f2-4a84-a26c-18ff4acbbcaf
Turniej Middle-Earth SBG w Rzeszowie,137e4312-73c0-4cc5-864d-2129c0e07cbb,Runda 2 - Hołd Ground,99ff7f9b-4333-4908-8338-9894f8561618,FINISHED,f35fc639-fa2c-4a21-a24d-7a8415041c28,2,2025-12-14T11:06:02.757Z,20d33ea3-e3df-427b-a6f1-c3822ed2ad1a,b1bfbaa2-786c-45b9-ae49-2d3958b91304,503,0,9,True,535acfa6-d712-4ec1-bdf7-8a9aab0ed728,e98a4dbf-6472-4198-b6b7-1b672e759927,97,0,6,,False,True,e98a4dbf-6472-4198-b6b7-1b672e759927
