Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,2919214d-c354-4ec1-932d-921b0b2f9923,0,2026-03-28T15:07:45.700Z,79c5022d-f90b-44ab-b00e-22abb9bfd007,b0eedad6-3e96-47d3-a85d-4d3f56d1acb3,-9,,5.0,,94050501-98a2-4ec4-bb37-8e50f6674df2,475ff286-fcbc-4c49-bac5-e3002c4bdf14,609.0,6.0,14.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,01fa602d-5959-43ec-8a64-050ffe3e01ef,1,2026-03-28T15:07:45.700Z,3365e3f3-aaa5-4651-919d-ada7c42f46d4,d0007593-ceb7-41c6-a43e-c5541e5eb1c6,609,6.0,9.0,,b904b436-0d28-44af-bbd8-e35a4eb3c80a,6d76eb6c-3cb2-419b-87ac-ac387640fbad,-9.0,0.0,0.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,cc873f14-2666-4439-a5fb-3f18905f62a2,2,2026-03-28T15:07:45.700Z,48492393-3769-4125-a001-651c83cbb3ad,63c2331e-0577-4bdc-a5fa-98ec6d23cbc5,502,5.0,9.0,,2a81970f-90d4-44b2-bead-b3fbca2f322a,de531847-5760-46e8-b02d-193569efdd23,98.0,1.0,7.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,6e3fd7bd-e0c4-4f61-85df-5b68ce16f1a1,3,2026-03-28T15:07:45.700Z,e19e955d-20bc-4ccb-9aee-fbe504d86892,1cd9909c-5aa9-41e1-adef-adc288fad817,96,1.0,6.0,,dc7aae09-fcb2-40d2-adbb-7c210ab4ec19,081b732c-68ef-4404-bf2c-b56519b96acd,504.0,5.0,10.0,,False,True,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,54859b4b-9ba7-41cf-8456-263cf87feecf,4,2026-03-28T15:07:45.700Z,b8498f9d-e165-4f0a-b09c-5cbddcfdc40d,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,606,6.0,7.0,,f7bb9234-6a4d-4559-871f-6346a1442ff9,22a23162-8fd8-4dcc-833c-430aafa67491,-6.0,0.0,1.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,475a37fc-ce30-4b96-8743-37e953f93d93,5,2026-03-28T15:07:45.700Z,916b3553-e41a-462e-a4fc-a2bd2bb82b47,4c85220b-667f-4d0b-b719-9c9ae145792d,-13,0.0,3.0,,9890ecc1-08f9-4889-b3b1-87fa60419863,8076af08-a8fe-455c-8c1a-2e5d7f2ad3eb,613.0,6.0,16.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,7359d1b2-45fb-4f7b-9f71-ad375066eff2,6,2026-03-28T15:07:45.700Z,d298af76-77ff-4a7e-b501-6bd6e0b45c06,6f0c7a5d-76ae-4136-81a4-1cb5150ad51d,611,6.0,16.0,,cce2abc2-ce4e-45a2-a9d5-5c42b2b60297,38c3998f-87c0-4a20-be94-967f612d9f8d,-11.0,0.0,5.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,3394d9f2-957f-40a8-b46b-713fdfb25469,7,2026-03-28T15:07:45.700Z,bdb3827c-9fd4-4314-8e4f-c1766028bb60,2a392470-f47d-4fff-a8b9-37d9cbbe2361,618,6.0,20.0,,8f30d4be-77ae-4c01-92b4-d7eb88b14abe,83f6f224-a83f-4b8a-8284-e19085482720,-18.0,,2.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,070f3f26-db76-4f02-965c-53ca6ea67441,8,2026-03-28T15:07:45.700Z,1373b094-d362-4be9-8c3c-ea633f5791fc,4575b808-77d6-4bec-a901-b90786c37509,98,1.0,8.0,,a7a8c79f-6db8-45ac-9e87-5bc13cccd0bd,59614550-aefe-45cd-b768-5f8310065c35,502.0,5.0,10.0,,False,False,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b
Turniej Middle-earth SBG - Kraków - BookGame 2026,9491df57-82c9-463f-a70f-4accda1c2a71,Runda 3 - Pool 3,cdf2646f-f62e-4d27-ba53-60c665c15cda,FINISHED,57816db7-68a3-4890-95c9-3a9d20ad3d64,9,2026-03-28T15:07:45.700Z,529f4e77-c517-401d-83b4-09155bae9e6e,448193ff-e2b4-4650-898a-1dd8dc3fd5e1,609,6.0,12.0,,5e253051-cf80-4df7-8eb1-82c22568d81c,3095fe86-18e4-4b0b-a307-f5b638304cb5,-9.0,,3.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
