Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,e34255c4-533e-4512-9f0d-7eac1e6e029e,0,2025-12-06T10:38:33.615Z,8eeb3647-f31b-4725-acbd-bb06ca9b0fef,0ad1e880-3db6-4577-84e8-1f7bb3702572,612,6,15.0,,480907ac-7f2c-4f86-9b55-aa0477f10cb3,d1928738-701d-4759-abe9-ff1123a28015,-12.0,0.0,3.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,e0a09b6b-6e67-4833-a60c-92e6db158ef7,1,2025-12-06T10:38:33.615Z,2a5cac1c-44c4-44e3-b915-9b145c1de79d,639fe636-9845-4b28-8d36-0a0ea855edeb,-9,0,3.0,,09366b9b-7721-4d64-9ab7-744600f716fe,4c85220b-667f-4d0b-b719-9c9ae145792d,609.0,6.0,12.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,ae5a0fc7-1a67-4ecd-b18b-f3c52a3b51e7,2,2025-12-06T10:38:33.615Z,9ea890ee-6641-4255-9cb3-82e38dfe3545,448193ff-e2b4-4650-898a-1dd8dc3fd5e1,502,5,10.0,,af8a5941-0056-41c1-a203-222f029bfdca,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b,98.0,1.0,8.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,eb227adf-d57e-48ca-bb92-f6c9c4b36c18,3,2025-12-06T10:38:33.615Z,fbabf15d-07c5-476d-8381-c2d6e6a9ee33,081b732c-68ef-4404-bf2c-b56519b96acd,608,6,9.0,,ec7d344f-cd48-481e-9ee8-9ec723bfc23e,7825ed24-d5e7-4e12-b627-23c81c278c00,-8.0,0.0,1.0,,True,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,c110e76b-da5d-4092-b347-ae9ef49c91ba,4,2025-12-06T10:38:33.615Z,aaeb132b-7f6a-43f3-ac79-46c576742770,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,506,5,13.0,,5ad84af2-8eb8-4381-a16e-260df98173e8,36347b47-4e5e-4ff3-a234-fcb619c1e671,94.0,1.0,7.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,2ca4337b-9bfb-4438-bc72-f9049fda05c0,5,2025-12-06T10:38:33.615Z,62324f7d-02dc-4d06-a956-290ef5834073,6428ec89-3465-476c-afec-805e603b095f,608,6,14.0,,c265b74b-e5f7-42c8-a7e1-256eb604628a,9da2af4f-72f3-41ac-94ab-f4d0f86de13d,-8.0,0.0,6.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,63f0caf3-1769-4a20-bf06-c99679f75c65,6,2025-12-06T10:38:33.615Z,d2ca958f-65f1-40b3-b5b4-77d51c42b6e8,24a267fb-e04e-436d-9858-d39a88afbabf,502,5,7.0,,2257d216-88d0-42db-bac5-0947d13eb65e,18bc28b3-714d-4a11-972d-514a54145413,98.0,1.0,5.0,,False,True,18bc28b3-714d-4a11-972d-514a54145413
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,836f9156-f230-46d0-a0ca-ac34ea66c13c,7,2025-12-06T10:38:33.615Z,80bdbe00-c1b6-40ca-a59e-2980a11b75fe,1e4b9bdf-6062-4736-aef3-52bc568f8803,606,6,11.0,,a111e58f-e901-4286-ae7d-2358d33f2ba7,feae9d4e-3e5c-465a-ad1e-b165f644f16f,-6.0,0.0,5.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,b141f44e-1aa1-4c55-aa55-91db22a832ba,8,2025-12-06T10:38:33.615Z,c8a51e00-cce1-43ca-8d15-4f44f8a18f4b,de531847-5760-46e8-b02d-193569efdd23,609,6,13.0,,51be4606-5fb9-4c0a-9155-2d445091fc89,7d9ccbc8-1389-4359-ac6a-da7e512d9ed5,-9.0,0.0,4.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Grudzień - Kuźnia,91e8e44a-5510-40d4-8d56-9bbd17d1516a,Runda 2,21a88f1f-8ccd-4235-b43f-c2bbcea514f9,FINISHED,0eb31188-21ae-401a-a622-4ed6687989c4,9,2025-12-06T10:38:33.615Z,60a08ea3-6871-4aa2-98fc-11267dade9e6,bff260e9-d39b-4dfc-9ddd-bfd091a449ba,614,6,14.0,False,90639f00-77c3-49b1-806a-ef0e9e354506,f48752fd-e96a-49e3-bb78-8c12475d82ae,-14.0,0.0,0.0,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
