Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,27d395e5-c30f-4f71-998b-196bd5e282ca,0,2026-02-01T12:59:06.864Z,299dc286-e44c-4a49-8eeb-87f1afceeba0,cb518781-9079-4152-8521-cccd862ff1d3,502,5.0,10,,d6cd959b-bfde-4da9-9b28-1fa6c7422674,f9ef5a6b-7fb2-4b2f-aacb-7b10bdf4e06c,98,1.0,8,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,b4bf06ab-7801-42ca-91de-87613bae2705,1,2026-02-01T12:59:06.864Z,4a26c9ec-3030-4145-a4c9-5a91d619588a,6841eef6-931a-4375-ae1b-79843a97a82e,-4,,4,,bc15535a-f93f-47d1-9a9c-212c06e65dea,7fa5ba4b-28df-44e8-a4f2-d87072e98a2b,604,6.0,8,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,2c7bcfa1-ae20-4c81-aaad-07a4b805b504,2,2026-02-01T12:59:06.864Z,3c3602f6-022a-41df-bcb7-091adeaea6ab,475ff286-fcbc-4c49-bac5-e3002c4bdf14,98,1.0,9,,c71163b3-26ff-4d67-9252-3c7c5186c52a,4c85220b-667f-4d0b-b719-9c9ae145792d,502,5.0,11,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,5d731329-19c1-451a-b0cb-c7e0b32d8983,3,2026-02-01T12:59:06.864Z,5d3d23a4-1bf8-49e4-9048-ed8eae9d3487,081b732c-68ef-4404-bf2c-b56519b96acd,98,1.0,8,,c48ef39d-51b1-47ba-9e16-b8a51cb65653,34c9fb25-33ab-4603-b448-3bd7a99b46e0,502,5.0,10,,True,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,0d663789-5b75-4c13-86f3-fa3380c76035,4,2026-02-01T12:59:06.864Z,9e79b7f9-4fcd-4f5a-85fa-2fe74d2be6aa,8cae570b-5e2b-4729-bea2-c07fe31fb4ab,508,5.0,18,,d9340eee-84c6-42d0-b7eb-c8c7686711d1,feae9d4e-3e5c-465a-ad1e-b165f644f16f,92,1.0,10,False,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,44a2716c-fff1-4c75-9dd9-d6620a17803e,5,2026-02-01T12:59:06.864Z,6919e842-cdea-4026-a3ff-dbfd963bd737,448193ff-e2b4-4650-898a-1dd8dc3fd5e1,615,6.0,18,,e4e33e21-ee6c-49d6-96ef-771d0a705555,31da25d3-993d-42a7-b9b0-1df2b46ff794,-15,0.0,3,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,2df37bf4-a795-47b7-a20a-d40472d3cd61,6,2026-02-01T12:59:06.864Z,30d0c365-544d-436a-aee8-e8e29128b3e2,1e4b9bdf-6062-4736-aef3-52bc568f8803,607,6.0,12,,b813d753-731e-4d60-accb-88f8e92bc764,d1928738-701d-4759-abe9-ff1123a28015,-7,,5,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,741ad3ea-3268-4213-9fe1-d5e027731180,7,2026-02-01T12:59:06.864Z,8b15723c-4784-4af7-9279-fbcf105b9285,59614550-aefe-45cd-b768-5f8310065c35,-20,0.0,0,,e2fff378-c3ed-4739-887a-014613aaf54f,22a23162-8fd8-4dcc-833c-430aafa67491,620,6.0,20,True,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,a5beb884-7106-4363-9f35-7bec7cb6c9c0,8,2026-02-01T12:59:06.864Z,4da6d4af-f53e-4f50-8496-0a3b544984b5,d6fa65f5-0af3-4f67-ab45-015c121507f0,610,5.0,10,,74a87c3a-a183-4781-b5c7-e905c3b6d22f,7d9ccbc8-1389-4359-ac6a-da7e512d9ed5,-10,1.0,5,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
Turniej Middle-earth SBG - Kraków - Vanaheim - pre-IMW,184acde0-bd31-423a-bb4a-7bcb247849f0,Runda 3 - Fog of War,1a258202-7bad-494b-b27a-e8221a677425,FINISHED,7ad65977-cb36-4a33-88bd-01851e44f0bd,9,2026-02-01T12:59:06.864Z,aa15fde9-635f-4eb1-b9d9-7881de08702a,9da2af4f-72f3-41ac-94ab-f4d0f86de13d,613,6.0,18,True,c227cfb6-aba3-4d9f-be19-1cf2e450a163,8360df32-4800-4f51-a238-48cf1f76dd0b,-13,0.0,5,,False,False,081b732c-68ef-4404-bf2c-b56519b96acd
