Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 1,89380767-94bc-41ae-8d83-fdb6da21286f,FINISHED,97c57dde-c763-4c78-b90b-839db38e379e,0,2026-09-12T08:24:18.146Z,5b65ed97-ff2d-4b50-b4e0-d04af7ea742a,5d119206-7a70-4117-a643-30ffbc04744d,2,6,0,,b3f3d1cb-39b2-4892-ae9a-558579907d0a,7508e7c6-6d9d-46a3-a29f-dc70f0917a46,2,6,0,,False,True,7508e7c6-6d9d-46a3-a29f-dc70f0917a46
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 1,89380767-94bc-41ae-8d83-fdb6da21286f,FINISHED,16b75f59-1292-4279-814c-a92231a4050e,1,2026-09-12T08:24:18.146Z,e53ad3a2-8f40-4fbb-a168-8f64487348f6,1e4bb49b-d8b6-4e0e-bdbc-5eef5d14c286,6,11,0,,50342ccf-4e5e-4fa5-8b27-0ba217d59931,0117f017-2d2b-4322-910f-c7c1b3aae435,0,1,0,,False,True,0117f017-2d2b-4322-910f-c7c1b3aae435
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 1,89380767-94bc-41ae-8d83-fdb6da21286f,FINISHED,fe698620-b77f-43b1-badf-6f3cef284193,2,2026-09-12T08:24:18.146Z,c1ba0e5d-15aa-42ce-ab81-2b6d0a361fad,c835422a-30a3-4c32-b3c7-e4adf534f128,2,5,0,,e8b5e52f-bc23-4602-80b4-a4cafb942174,24841cbc-cf9a-4749-b241-f2bc5078b576,2,5,0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 1,89380767-94bc-41ae-8d83-fdb6da21286f,FINISHED,10232aeb-ea28-4caa-ad71-c0e743c919c7,3,2026-09-12T08:24:18.146Z,dc04c153-81e2-4200-9ba0-41f33e542fc9,b746219c-415e-46e0-8143-e8cbc9ae71d0,2,0,0,,ef77ecad-5564-4fe2-822a-22ebd6acbe42,2f93e352-e82d-44fc-9695-523112d5471e,2,0,0,,False,True,2f93e352-e82d-44fc-9695-523112d5471e
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 1,89380767-94bc-41ae-8d83-fdb6da21286f,FINISHED,d6dadbc9-9f52-4185-a131-2100487db36b,4,2026-09-12T08:24:18.146Z,15978776-ca67-442b-be06-545fe6f5d8bb,7fc1431b-754b-4862-bb97-6f25f0ec68e3,0,1,0,,b21964d5-b9b5-49f4-8e9f-3fc96af3bdbf,ff683689-6a31-40d7-8068-f1801f077caf,6,16,0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 1,89380767-94bc-41ae-8d83-fdb6da21286f,FINISHED,c17e58ff-4f75-4f95-b0ff-a558ac0dcf88,5,2026-09-12T08:24:18.146Z,cc41966a-9db2-497c-9305-051db048ea34,b1bfbaa2-786c-45b9-ae49-2d3958b91304,0,2,0,True,b6f4e6a7-acdf-4818-aef6-64bd8eb2ceca,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,6,13,0,False,False,True,9f838a1a-8b9b-4c57-9faa-251f6768a5e9
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 4,21e0d8fe-1611-4d89-982e-86c3af8004db,FINISHED,011f8fe3-a490-4aaf-b9b0-11fee51974a8,0,2026-09-13T13:10:05.948Z,f852cb6b-95ff-4add-9d1a-1ce25991edea,1e4bb49b-d8b6-4e0e-bdbc-5eef5d14c286,0,3,0,,43ab919d-839e-47fc-934e-52bb65c3dda8,5d119206-7a70-4117-a643-30ffbc04744d,6,12,0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 4,21e0d8fe-1611-4d89-982e-86c3af8004db,FINISHED,5e8d1014-6f5a-4fbf-ac2f-7f13ce9c7a95,1,2026-09-13T13:10:05.948Z,03a5f09f-a77e-487a-8e97-b9e930c219ea,ff683689-6a31-40d7-8068-f1801f077caf,6,11,0,,429da220-d0d0-403e-b845-e55fd989c3cf,c835422a-30a3-4c32-b3c7-e4adf534f128,0,4,0,,False,False,0117f017-2d2b-4322-910f-c7c1b3aae435
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 4,21e0d8fe-1611-4d89-982e-86c3af8004db,FINISHED,ba7c8c86-d3d7-4c1f-8b53-481be9828a51,2,2026-09-13T13:10:05.948Z,3bab6980-93b8-48a2-94af-26263440454d,9f838a1a-8b9b-4c57-9faa-251f6768a5e9,0,0,0,True,f98e80dc-7308-4b35-9946-ab8b33c74d7d,7fc1431b-754b-4862-bb97-6f25f0ec68e3,6,9,0,,True,False,9f838a1a-8b9b-4c57-9faa-251f6768a5e9
WRZEŚNIOWY Turniej Middle-Earth SBG w Rzeszowie,239ae977-ade1-41d5-b368-9cb4943370f9,Runda 4,21e0d8fe-1611-4d89-982e-86c3af8004db,FINISHED,c10c619b-420f-448b-8793-097816a72e67,3,2026-09-13T13:10:05.948Z,75d9ebd5-88d5-4bdc-9946-c8ab14fe70fb,0117f017-2d2b-4322-910f-c7c1b3aae435,1,8,0,,be10a990-1874-4d4e-b6fe-a76e526ca7c1,2f93e352-e82d-44fc-9695-523112d5471e,5,9,0,,True,False,0117f017-2d2b-4322-910f-c7c1b3aae435
