Tournament Name,Tournament ID,Round Title,Round ID,Round Status,Table ID,Table Number (Order),Created At,P1 ID,P1 User ID,P1 Primary Points (TP),P1 Secondary Points (VP),P1 Tertiary Points,P1 Use Secondary List,P2 ID,P2 User ID,P2 Primary Points (TP),P2 Secondary Points (VP),P2 Tertiary Points,P2 Use Secondary List,Approved by P1,Approved by P2,Added by User ID
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,563fb3fa-dfe4-4bac-a606-11c18b43f7c0,,2025-12-27T15:31:32.292Z,f367c71e-8366-4a9a-ac48-03b847d0a94c,8c340f26-1543-4335-8b37-d814614b81f9,0,3,,,d06a44fd-d042-4d60-a61e-8dec4d56ae4c,c0e5c936-b855-43d8-aa70-0fd1a8ab470e,6.0,9.0,,,False,False,c0e5c936-b855-43d8-aa70-0fd1a8ab470e
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,e3a11a29-d4ff-4c8f-a932-8bfa976fcf06,,2025-12-27T15:52:16.911Z,17af0c62-0653-4528-908f-87f08e68563b,774afb8c-8f87-46dc-823e-a82621336e4f,0,3,,,095ddf58-33c8-4bab-b011-5ec69258d1a8,d9604cb1-9be4-4870-a49e-01dc101470ca,6.0,10.0,,,False,False,774afb8c-8f87-46dc-823e-a82621336e4f
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,6a8c2431-e818-4ab3-ba0c-dad150a438bf,,2025-12-27T15:57:10.137Z,b20fd2b9-a571-4ddb-bb13-89974691dbdd,3d714876-1192-47cf-a91e-7158e7e6c608,6,13,,,10ff6ef0-9645-4f0e-bd6c-5bb143f03476,845884f6-55a1-45c5-99a4-83842b39aa8d,0.0,0.0,,,False,False,3d714876-1192-47cf-a91e-7158e7e6c608
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,d781fbf2-5e4a-4339-9843-c4cfd4b3d9d2,,2025-12-27T15:59:50.977Z,5873bee7-1d2b-4212-a6f2-94f8a36df37e,fd9bb84b-6388-405b-a344-401356dab653,5,7,,,b1c50ffd-a301-47d5-ad39-e9882cd59da5,1d0e1a17-738b-4e64-8c0a-1bf6625a6987,1.0,4.0,,,False,False,1d0e1a17-738b-4e64-8c0a-1bf6625a6987
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,77760f50-1c07-49cc-8fd7-eef271be364c,,2025-12-27T16:16:06.132Z,cee36879-d12a-42a8-812e-0e23b2e75be1,0652fd22-7c47-4455-b080-7964135b2686,0,0,,,f6fb7dc0-5720-4e50-806b-100e232a8ac8,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e,6.0,17.0,,,False,False,06e08db4-eeb0-41a3-9e0c-7a8d0203bc0e
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,a75b89b9-8180-4719-ba39-0708ebd9e90e,,2025-12-27T16:09:01.550Z,1b71fa2b-d4c4-44b5-9359-4f47afebcb2b,4d057d0a-bf12-4fbc-af54-24d0e7959cd0,0,0,,,58c1633f-16b7-40d6-a537-d676c614ca84,de165489-779b-4fe0-889e-cfa506ac6caf,6.0,19.0,,,False,False,de165489-779b-4fe0-889e-cfa506ac6caf
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,e0bdeb9c-9525-4ee1-b3df-b017ac113ac5,,2025-12-27T16:17:52.731Z,5758ea4b-0dec-4e92-86db-41ab37e1ad7c,f05d7ac4-d23a-42f6-9776-b213e9bc38e2,0,0,,,ca66af27-6e23-40dd-af30-c4a317b9fc0e,a7f6afd7-7e8e-4a00-a3ba-fc637ca964fd,6.0,8.0,,,False,False,a7f6afd7-7e8e-4a00-a3ba-fc637ca964fd
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,5bea6656-2d00-4722-b72d-a9e2ea5dc30a,,2025-12-27T16:24:28.260Z,05d6805e-ba0f-4972-8eae-3785a3f315a1,8160bffd-9a46-406a-bd50-0f2208cc2c79,6,15,,,,,,,,,False,False,774afb8c-8f87-46dc-823e-a82621336e4f
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,840c93a8-7e96-4ce5-a755-648ebfca45df,,2025-12-27T16:24:34.954Z,121feba5-5181-48df-93e9-3f50df942b08,04157463-fdd9-444e-9746-c3e42e688e80,6,15,,,,,,,,,False,False,774afb8c-8f87-46dc-823e-a82621336e4f
ostatni turniej Middle Earth Strategy Battle game w roku 2025,75c98ac6-00cb-4183-86c3-4275f59437ab,Clash by mooblighy ,a619dcfe-6c62-4a1b-a053-bfec6ae646cc,FINISHED,31391247-d2aa-419a-81e9-f6d4b29fcb39,,2025-12-27T16:26:45.698Z,6357d365-8fcf-454e-ab4b-6176ce80c30a,6bbae723-3f56-4f46-b886-e4f179c50e93,5,7,,,f67576d0-0353-443f-849d-025762f6da9c,06bd3500-012a-4f24-b8f5-058fd54364af,1.0,6.0,,,False,False,06bd3500-012a-4f24-b8f5-058fd54364af
